Sales,Digital_Ads_Spend,TV_Commercials_Spend,Physician_Outreach_Spend,Trade_Show_Investment,Region,Campaign_Type,Ad_Format,Launch_Year
513.31,261k USD,336.14,197.39,98.12,South,Acquisition,Video,2020.0
303.15,55k USD,303.34,71.3,110.49,East,Seasonal,Social Media,2022.0
296.46,253k USD,219.02,49.44,67.13,East,Seasonal,Search,2019.0
436.89,120k USD,326.01,183.77,127.12,nan,Awareness,Bannr,2023.0
320.13,79k USD,375.55,111.04,46.53,East,Seasonal,Banner,2022.0
437.03,224k USD,449.33,125.12,80.98,nan,Acquisition,Video,2025.0
324.3,207k USD,354.52,36.85,124.12,West,Awareness,Search,2018.0
363.93,269k USD,404.45,87.11,43.42,Online,Awareness,Soial Media,2022.0
251.49,233k USD,164.03,37.41,34.28,North,Acquisition,Banner,
521.54,250k USD,284.62,223.42,134.88,Online,Awareness,Banner,2022.0
409.12,120k USD,948.96,83.55,64.58,Online,Retention,Soial Media,
349.85,94k USD,198.67,152.61,108.9,nan,Retention,Social Media,2020.0
310.41,237k USD,390.58,38.58,23.3,Online,Awareness,Social Media,2018.0
542.14,251k USD,496.72,176.71,109.71,East,Seasonal,Bannr,2022.0
358.62,297k USD,139.67,101.07,61.09,nan,Retention,Bannr,2019.0
423.77,153k USD,260.6,227.54,27.25,Online,Awareness,Banner,2018.0
536.12,143k USD,420.03,225.39,99.28,nan,Retention,nan,2019.0
364.35,244k USD,181.61,101.56,51.3,West,Seasonal,Banner,2023.0
495.94,135k USD,322.03,228.21,70.28,nan,Acquisition,Bannr,2023.0
,282k USD,393.23,249.15,30.48,South,Awareness,Soial Media,2025.0
515.14,264k USD,346.39,211.59,39.13,East,Awareness,Bannr,2021.0
447.69,157k USD,175.21,215.87,58.74,North,Awareness,Banner,2023.0
332.78,237k USD,242.15,84.78,31.67,South,Awareness,Search,2022.0
517.53,238k USD,413.52,156.87,138.41,South,Awareness,Banner,2018.0
206.46,75k USD,321.69,44.8,20.79,South,Awareness,Search,2023.0
278.26,275k USD,102.09,50.88,82.9,Online,Seasonal,Search,2019.0
514.73,176k USD,404.4,249.76,36.02,nan,Acquisition,Banner,2022.0
344.42,256k USD,114.12,101.86,60.0,nan,Seasonal,nan,2023.0
492.63,130k USD,398.29,194.6,140.39,Online,Seasonal,nan,
454.31,273k USD,180.99,207.47,41.02,East,Acquisition,Video,
555.4,147k USD,483.23,218.77,145.56,Online,Seasonal,Bannr,2020.0
470.09,52k USD,247.18,249.48,46.75,Online,Retention,nan,2019.0
378.99,276k USD,230.77,83.13,116.4,Online,Seasonal,Social Media,2025.0
206.81,72k USD,159.56,38.88,,East,Awareness,Banner,2025.0
378.33,129k USD,222.24,120.46,134.98,East,Retention,Search,2025.0
382.37,287k USD,450.66,58.62,92.02,West,Retention,Banner,2019.0
,287k USD,498.53,34.93,89.49,West,Acquisition,Bannr,2025.0
349.14,193k USD,247.32,109.29,45.41,West,Seasonal,Soial Media,2021.0
465.09,207k USD,279.44,202.42,41.61,West,Seasonal,nan,2020.0
,162k USD,388.83,154.56,139.14,nan,Retention,nan,2021.0
367.61,123k USD,454.48,98.81,62.62,South,Seasonal,nan,
444.34,132k USD,337.22,173.96,68.37,South,Seasonal,Search,2023.0
373.07,218k USD,256.61,81.04,118.78,West,Acquisition,Social Media,2020.0
259.47,238k USD,265.05,33.16,64.05,West,Retention,Social Media,2019.0
532.54,247k USD,378.25,198.16,143.77,North,Awareness,nan,2021.0
461.79,247k USD,101.29,167.22,115.93,South,Retention,Social Media,2022.0
406.99,72k USD,347.84,197.71,97.67,North,Acquisition,Soial Media,2020.0
291.89,173k USD,242.2,38.57,134.52,North,Acquisition,nan,2019.0
440.96,64k USD,417.68,214.17,26.45,Online,Acquisition,Video,2018.0
348.99,187k USD,137.2,166.3,53.42,nan,Seasonal,Search,2020.0
418.91,160k USD,335.28,153.95,80.45,East,Retention,Soial Media,2020.0
466.94,271k USD,292.39,167.42,49.51,South,Seasonal,Search,2023.0
,137k USD,356.93,220.18,116.71,West,Seasonal,nan,2022.0
414.71,79k USD,125.94,159.13,139.5,West,Retention,Soial Media,2023.0
364.93,85k USD,331.99,157.81,75.09,East,Acquisition,nan,2025.0
558.79,240k USD,324.59,247.95,64.48,South,Awareness,Soial Media,2020.0
517.78,204k USD,324.26,196.48,145.0,West,Awareness,nan,
349.25,75k USD,341.4,127.3,77.83,West,Retention,Video,2020.0
399.76,71k USD,370.59,185.63,83.58,Online,Retention,Search,2025.0
427.89,225k USD,422.0,115.63,65.71,North,Acquisition,Soial Media,2022.0
304.75,68k USD,207.93,80.35,138.24,West,Retention,Video,2022.0
520.55,255k USD,430.02,161.31,93.96,nan,Retention,Banner,
527.83,,299.3,234.2,119.08,South,Acquisition,nan,
457.29,70k USD,130.82,234.41,125.53,nan,Acquisition,Bannr,2021.0
272.29,71k USD,123.42,105.22,64.44,East,Seasonal,Soial Media,2019.0
437.75,296k USD,233.7,146.09,76.38,Online,Retention,Social Media,2019.0
373.61,143k USD,413.96,76.56,130.3,South,Awareness,Video,2021.0
518.98,142k USD,383.07,249.04,67.22,Online,Retention,Video,2019.0
645.75,,415.45,245.85,123.21,North,Awareness,Soial Media,2020.0
519.77,286k USD,306.91,172.89,142.33,West,Awareness,Video,2021.0
475.11,296k USD,276.08,206.97,101.02,South,Awareness,Banner,2021.0
473.45,238k USD,158.98,187.32,116.41,East,Seasonal,Video,2019.0
446.5,144k USD,231.28,160.49,124.66,North,Acquisition,Bannr,2018.0
242.6,70k USD,273.61,,129.86,North,Acquisition,Bannr,
353.94,244k USD,135.44,130.05,71.36,Online,Seasonal,nan,2019.0
376.82,189k USD,188.24,178.45,26.66,North,Acquisition,nan,2023.0
416.97,156k USD,339.29,179.06,72.24,South,Seasonal,Social Media,2018.0
428.96,276k USD,394.27,112.09,107.59,Online,Retention,Banner,2021.0
530.91,77k USD,499.34,237.17,78.55,North,Seasonal,Bannr,2018.0
395.04,173k USD,473.25,66.82,117.37,East,Acquisition,Soial Media,2020.0
302.0,52k USD,357.03,140.08,66.41,nan,Acquisition,Search,2022.0
442.9,167k USD,268.5,181.99,102.52,South,Retention,Search,2018.0
399.16,64k USD,354.47,183.37,44.23,East,Seasonal,Search,2023.0
446.48,79k USD,414.26,172.7,117.42,East,Retention,nan,2022.0
312.46,79k USD,147.33,90.56,90.94,Online,Awareness,Soial Media,2020.0
252.66,212k USD,263.96,64.37,46.53,West,Seasonal,Video,2023.0
418.66,236k USD,435.92,169.91,57.95,Online,Retention,Soial Media,2025.0
484.9,,253.53,161.85,117.32,South,Retention,Video,2022.0
380.03,290k USD,328.75,69.46,82.74,South,Acquisition,Search,2025.0
414.09,143k USD,335.11,185.13,48.08,Online,Seasonal,Social Media,2020.0
380.37,121k USD,173.79,130.14,145.75,West,Awareness,Social Media,2022.0
574.37,,662.88,176.91,112.97,Online,Awareness,Video,2022.0
470.93,105k USD,233.8,214.22,144.43,South,Seasonal,Search,2019.0
317.38,290k USD,110.48,67.34,75.52,West,Seasonal,Soial Media,2023.0
190.36,53k USD,109.68,34.21,81.76,South,Retention,Social Media,
617.56,292k USD,432.68,201.4,136.73,West,Acquisition,Video,2023.0
385.34,60k USD,209.23,164.13,88.26,West,Acquisition,Soial Media,2018.0
543.22,272k USD,307.23,183.92,111.95,Online,Acquisition,Search,2025.0
428.74,181k USD,219.49,214.39,52.78,Online,Seasonal,Banner,2025.0
552.39,298k USD,476.27,206.62,78.07,Online,Acquisition,Search,2023.0
434.28,68k USD,203.72,241.4,36.05,West,Retention,nan,2023.0
346.89,188k USD,271.86,,46.78,West,Seasonal,Search,2022.0
457.42,292k USD,449.09,137.47,20.12,South,Seasonal,Soial Media,2025.0
379.67,180k USD,436.77,118.42,25.1,East,Acquisition,Soial Media,2021.0
325.29,207k USD,174.44,63.81,147.05,Online,Awareness,Bannr,
438.19,223k USD,421.06,155.97,51.51,nan,Awareness,Bannr,2019.0
370.06,163k USD,283.27,90.94,106.23,South,Retention,Soial Media,
532.16,206k USD,293.19,232.69,129.08,South,Acquisition,Soial Media,2018.0
429.91,196k USD,153.39,158.3,91.59,North,Acquisition,Banner,
397.98,275k USD,132.24,160.42,39.91,Online,Seasonal,Banner,2019.0
366.39,61k USD,391.18,108.08,114.66,South,Seasonal,Search,2018.0
268.09,120k USD,298.58,41.44,98.03,North,Acquisition,nan,2020.0
378.07,287k USD,274.74,36.98,115.06,nan,Seasonal,Social Media,2022.0
439.44,272k USD,391.8,123.13,120.07,nan,Acquisition,nan,2023.0
331.75,163k USD,406.21,48.6,146.8,Online,Retention,Banner,2023.0
387.55,205k USD,163.56,163.51,94.56,West,Seasonal,Search,2021.0
451.85,119k USD,344.09,223.81,64.41,North,Acquisition,nan,
465.57,97k USD,,224.24,104.3,West,Seasonal,Video,2025.0
455.81,165k USD,400.55,174.99,28.9,nan,Retention,Bannr,2025.0
368.18,138k USD,362.78,76.47,136.66,nan,Seasonal,nan,2019.0
509.93,195k USD,,219.86,35.52,East,Acquisition,Social Media,2019.0
392.92,69k USD,127.58,224.94,62.62,East,Seasonal,Search,2019.0
373.52,293k USD,122.82,73.26,126.05,East,Seasonal,nan,2025.0
481.49,296k USD,212.87,192.23,97.65,East,Acquisition,Soial Media,2023.0
308.12,224k USD,204.68,93.03,71.17,South,Awareness,Video,2025.0
454.02,184k USD,198.79,206.58,81.55,East,Seasonal,Bannr,2019.0
530.7,127k USD,462.5,249.39,131.09,South,Seasonal,Video,2022.0
246.16,253k USD,199.82,36.61,64.2,South,Retention,Search,2018.0
570.69,221k USD,208.78,227.42,133.05,Online,Awareness,Banner,2023.0
354.93,90k USD,403.76,166.98,31.46,South,Retention,Bannr,2022.0
558.87,277k USD,279.9,244.14,120.98,South,Acquisition,Video,2020.0
472.7,255k USD,410.68,132.3,130.18,East,Acquisition,Banner,
478.58,287k USD,126.15,216.43,43.64,South,Retention,Social Media,2022.0
294.92,231k USD,295.03,,75.95,West,Seasonal,Search,
263.39,203k USD,113.45,103.76,41.51,East,Awareness,Search,2022.0
274.61,154k USD,125.06,44.74,111.86,North,Retention,Bannr,2020.0
594.17,283k USD,462.57,244.58,89.6,East,Retention,Video,2022.0
525.39,266k USD,155.7,209.73,102.59,South,Acquisition,Social Media,2018.0
412.62,61k USD,312.97,217.56,45.54,West,Seasonal,Soial Media,2023.0
457.31,56k USD,264.44,236.35,47.53,East,Awareness,Bannr,
255.06,144k USD,238.94,48.72,25.39,West,Retention,Soial Media,2021.0
408.62,252k USD,459.93,114.83,61.87,North,Awareness,Bannr,2025.0
318.5,296k USD,108.73,45.63,92.77,nan,Awareness,Video,2020.0
302.14,87k USD,365.52,76.37,131.53,North,Retention,Social Media,
392.33,198k USD,485.36,80.46,106.7,nan,Awareness,Video,2023.0
403.15,145k USD,324.07,133.2,76.6,Online,Acquisition,Search,2019.0
465.55,292k USD,474.73,89.08,143.91,nan,Seasonal,Soial Media,
357.28,260k USD,120.9,52.22,113.5,Online,Seasonal,Banner,2018.0
383.59,259k USD,267.52,66.85,140.92,East,Seasonal,nan,2021.0
278.41,167k USD,204.06,62.4,88.59,Online,Acquisition,Search,2018.0
571.85,153k USD,392.33,244.08,53.66,West,Acquisition,Search,
481.09,118k USD,492.52,197.04,26.87,Online,Acquisition,Soial Media,2018.0
444.23,64k USD,202.61,242.91,114.39,West,Seasonal,Bannr,2019.0
386.68,266k USD,361.67,126.74,35.77,nan,Awareness,Search,2021.0
311.48,,179.24,91.24,59.36,nan,Acquisition,nan,2025.0
548.39,299k USD,326.13,205.62,89.22,nan,Retention,Social Media,2018.0
416.36,299k USD,285.57,101.78,93.37,Online,Acquisition,Search,2019.0
408.46,188k USD,488.8,95.86,98.08,nan,Retention,Social Media,2020.0
305.33,242k USD,343.41,81.15,41.61,Online,Seasonal,Video,2019.0
311.53,286k USD,239.8,58.53,69.37,Online,Retention,Bannr,2022.0
344.95,262k USD,145.64,86.42,100.24,South,Acquisition,Social Media,
,111k USD,160.5,108.17,146.08,South,Acquisition,Search,2023.0
418.33,162k USD,190.13,178.28,114.59,Online,Awareness,Bannr,
286.6,82k USD,200.39,43.76,139.94,West,Seasonal,nan,
385.4,288k USD,440.25,76.31,119.09,East,Retention,Bannr,2019.0
532.36,201k USD,324.49,207.99,96.92,North,Seasonal,Social Media,2019.0
278.32,107k USD,309.36,62.32,44.96,South,Acquisition,Social Media,2019.0
351.0,217k USD,145.91,105.38,106.67,Online,Awareness,Banner,
532.54,204k USD,444.06,220.22,101.04,North,Acquisition,Banner,2025.0
336.17,139k USD,389.13,64.08,98.32,South,Acquisition,Bannr,2018.0
199.06,78k USD,127.07,48.2,83.67,East,Acquisition,Soial Media,2025.0
416.18,217k USD,383.13,136.6,88.73,West,Retention,Soial Media,2021.0
338.96,180k USD,317.42,96.53,63.48,Online,Acquisition,Banner,2019.0
368.41,243k USD,132.69,,87.51,East,Seasonal,Search,2019.0
568.88,180k USD,283.32,326.49,45.68,South,Seasonal,Video,2022.0
354.69,263k USD,293.88,60.17,124.67,Online,Awareness,Bannr,2022.0
383.76,187k USD,166.31,157.75,44.15,North,Seasonal,Video,2020.0
393.8,190k USD,478.28,141.21,31.05,nan,Acquisition,Banner,2020.0
361.78,269k USD,439.99,61.7,76.71,West,Acquisition,Social Media,2022.0
415.68,150k USD,367.61,167.28,105.58,South,Seasonal,nan,2021.0
313.42,83k USD,284.92,90.2,76.9,West,Awareness,Bannr,2020.0
328.6,57k USD,264.71,137.32,55.98,Online,Awareness,Banner,2023.0
337.02,238k USD,360.39,48.1,92.56,nan,Seasonal,Search,2023.0
401.83,205k USD,318.17,131.11,65.11,East,Retention,nan,2021.0
,226k USD,124.91,97.42,,West,Retention,Bannr,2022.0
479.7,103k USD,305.0,210.92,139.94,North,Retention,Bannr,2020.0
292.97,84k USD,422.56,42.54,85.31,South,Retention,Soial Media,2019.0
315.42,53k USD,283.7,122.09,62.62,North,Seasonal,Social Media,2022.0
352.42,137k USD,120.78,130.85,115.83,West,Awareness,Bannr,2020.0
453.99,197k USD,414.51,189.5,24.77,nan,Acquisition,Social Media,2021.0
381.38,148k USD,180.55,156.34,81.72,East,Acquisition,Banner,2023.0
401.3,159k USD,203.45,176.79,63.72,East,Seasonal,Search,
527.46,276k USD,165.88,200.95,139.67,North,Acquisition,nan,2021.0
409.08,137k USD,232.09,219.68,21.56,Online,Retention,nan,
358.67,178k USD,402.7,99.05,91.87,Online,Awareness,Search,2020.0
468.91,245k USD,307.75,148.36,116.29,nan,Seasonal,Bannr,2021.0
450.76,149k USD,181.95,214.82,83.05,East,Awareness,Bannr,2020.0
557.74,205k USD,451.13,247.68,31.1,North,Seasonal,Banner,2020.0
613.47,265k USD,451.83,225.69,146.42,North,Seasonal,Soial Media,
430.02,287k USD,448.23,111.72,87.34,North,Seasonal,Soial Media,2021.0
282.74,86k USD,195.52,72.94,99.84,West,Seasonal,Soial Media,2018.0
438.36,281k USD,280.5,137.67,50.76,nan,Awareness,Social Media,2019.0
508.46,173k USD,494.0,193.16,82.85,Online,Acquisition,Soial Media,2022.0
402.41,114k USD,408.8,138.37,75.79,Online,Seasonal,Search,2023.0
316.05,164k USD,110.87,136.3,29.74,West,Retention,nan,2019.0
490.65,295k USD,126.08,214.41,33.8,South,Seasonal,nan,2022.0
373.5,173k USD,285.57,109.51,128.87,West,Awareness,Social Media,2022.0
496.08,132k USD,463.69,219.15,51.18,nan,Seasonal,Banner,2023.0
418.43,208k USD,315.48,119.5,45.34,North,Retention,Search,2019.0
338.65,110k USD,299.13,102.21,85.64,West,Awareness,nan,2023.0
325.43,68k USD,142.19,129.88,119.94,North,Seasonal,Search,2020.0
401.08,82k USD,362.71,197.74,28.05,nan,Retention,nan,2023.0
293.4,82k USD,428.84,57.72,,nan,Awareness,Video,
261.8,87k USD,252.17,73.21,35.5,East,Seasonal,Banner,
470.87,84k USD,410.24,239.32,24.74,North,Retention,Banner,2021.0
316.72,210k USD,485.79,68.61,26.86,Online,Awareness,Video,2018.0
374.43,95k USD,181.51,154.9,128.44,West,Seasonal,Social Media,2018.0
379.61,136k USD,309.33,157.45,35.34,nan,Awareness,nan,2018.0
384.28,274k USD,214.86,137.72,25.87,North,Retention,nan,2019.0
462.29,168k USD,417.14,171.84,76.93,South,Seasonal,nan,
395.82,216k USD,331.04,80.56,129.72,East,Seasonal,Soial Media,2019.0
426.92,93k USD,353.83,151.59,54.11,South,Seasonal,Soial Media,2020.0
322.97,98k USD,419.17,111.88,74.82,nan,Retention,Soial Media,2025.0
365.3,60k USD,258.39,175.57,25.19,South,Acquisition,Soial Media,2018.0
302.38,92k USD,466.04,61.07,78.38,South,Seasonal,Soial Media,2020.0
367.38,119k USD,313.21,155.59,95.09,East,Retention,Video,
286.77,94k USD,163.18,70.76,94.22,East,Awareness,Banner,2025.0
310.46,72k USD,378.36,91.3,63.22,East,Awareness,Social Media,2018.0
311.87,80k USD,417.3,78.12,61.02,East,Retention,Search,2019.0
232.02,165k USD,226.7,70.22,33.86,South,Acquisition,Soial Media,2025.0
469.4,101k USD,442.87,211.66,67.68,Online,Retention,Video,2021.0
308.52,141k USD,462.46,92.86,32.93,Online,Awareness,nan,2021.0
558.31,175k USD,210.76,233.97,119.66,East,Awareness,Social Media,2021.0
640.04,222k USD,493.41,243.38,145.62,West,Seasonal,Social Media,2023.0
366.05,59k USD,156.28,155.68,146.11,North,Acquisition,Social Media,2021.0
308.6,249k USD,180.81,61.46,132.46,nan,Retention,Video,2022.0
365.15,206k USD,173.69,112.4,98.1,West,Awareness,Search,2018.0
504.81,70k USD,457.6,205.5,111.11,nan,Awareness,Soial Media,2021.0
362.24,268k USD,361.72,110.83,57.08,West,Awareness,Social Media,2025.0
295.79,280k USD,160.84,49.14,102.0,West,Retention,Video,
339.75,65k USD,276.13,152.49,79.23,Online,Retention,nan,2022.0
492.96,119k USD,346.12,215.93,82.66,North,Acquisition,Banner,2022.0
487.13,251k USD,133.39,205.1,118.51,West,Seasonal,nan,2022.0
345.08,237k USD,452.97,68.53,56.65,East,Seasonal,Video,2020.0
426.65,96k USD,421.44,178.01,61.35,nan,Seasonal,Video,2025.0
312.12,102k USD,302.08,78.51,140.2,Online,Awareness,Video,2020.0
285.54,,486.85,78.01,27.31,nan,Seasonal,Social Media,2022.0
515.9,171k USD,267.1,222.3,83.13,East,Awareness,Video,2023.0
444.92,204k USD,493.64,84.93,138.66,East,Acquisition,Banner,2021.0
349.02,142k USD,367.17,87.91,99.35,West,Awareness,Social Media,
282.86,165k USD,353.87,30.14,91.03,East,Acquisition,nan,2018.0
500.58,236k USD,166.38,221.55,52.47,North,Acquisition,Banner,2025.0
451.38,59k USD,452.77,204.37,64.63,East,Seasonal,Bannr,2023.0
421.14,113k USD,271.0,168.01,130.77,West,Seasonal,nan,2019.0
464.79,228k USD,164.89,195.06,92.7,nan,Awareness,Video,2020.0
336.68,273k USD,105.04,63.45,86.92,East,Retention,Soial Media,2021.0
363.78,177k USD,323.9,130.83,32.95,Online,Seasonal,Soial Media,2021.0
313.99,183k USD,310.96,107.27,22.08,Online,Seasonal,Social Media,2019.0
309.13,76k USD,387.74,50.63,145.28,Online,Retention,Soial Media,2019.0
424.83,161k USD,456.1,136.95,69.01,nan,Retention,nan,2025.0
498.47,183k USD,131.76,232.56,98.42,South,Seasonal,Social Media,2021.0
248.62,110k USD,392.6,38.81,30.36,Online,Retention,nan,2019.0
293.61,117k USD,174.96,94.12,108.8,Online,Awareness,Video,2021.0
387.32,144k USD,443.27,75.66,141.23,South,Acquisition,Search,2023.0
313.87,,427.63,82.39,94.84,nan,Acquisition,Search,2025.0
448.9,130k USD,316.32,229.86,36.39,Online,Seasonal,Banner,
400.15,102k USD,384.1,,95.62,West,Seasonal,Video,2019.0
369.7,131k USD,225.74,132.59,119.63,nan,Awareness,Soial Media,2023.0
388.68,79k USD,288.47,197.33,72.83,Online,Retention,Video,2023.0
382.18,272k USD,428.65,63.99,134.38,Online,Seasonal,Bannr,2019.0
,198k USD,283.71,137.2,104.33,South,Acquisition,Search,2025.0
429.76,219k USD,243.12,124.6,136.9,West,Awareness,Soial Media,2021.0
445.39,247k USD,297.68,161.32,101.06,nan,Awareness,nan,
523.41,174k USD,431.3,249.9,37.07,East,Retention,nan,2022.0
376.47,71k USD,234.08,199.28,60.26,North,Seasonal,Search,2021.0
346.03,184k USD,169.5,117.53,46.23,West,Seasonal,Video,2018.0
577.35,196k USD,384.81,212.06,138.15,East,Awareness,Soial Media,2019.0
415.19,236k USD,430.39,67.56,118.85,West,Acquisition,Banner,2020.0
269.32,157k USD,140.25,36.7,107.93,East,Seasonal,nan,2025.0
264.65,81k USD,195.95,74.98,59.13,East,Acquisition,Video,2019.0
240.52,120k USD,156.79,104.89,43.93,West,Awareness,Banner,2018.0
399.48,140k USD,239.18,142.33,118.34,South,Seasonal,Soial Media,2023.0
428.08,211k USD,,165.33,81.64,West,Acquisition,Search,2020.0
530.6,192k USD,399.53,230.33,49.35,West,Awareness,Bannr,2020.0
357.65,139k USD,360.46,142.17,100.16,East,Acquisition,Social Media,2021.0
425.67,296k USD,348.37,140.28,25.24,North,Seasonal,Search,2022.0
261.18,201k USD,240.95,41.05,62.4,East,Retention,Banner,2021.0
297.17,109k USD,436.58,37.68,80.91,Online,Acquisition,Video,2025.0
373.89,75k USD,288.51,151.26,39.23,West,Retention,nan,2020.0
405.52,88k USD,,126.4,148.01,nan,Seasonal,Soial Media,
433.51,111k USD,353.66,214.62,47.18,West,Retention,Search,
221.37,90k USD,150.51,65.35,36.95,South,Awareness,nan,2020.0
267.89,96k USD,370.47,35.49,46.46,nan,Retention,nan,
372.25,121k USD,230.04,128.79,,East,Acquisition,Bannr,
280.54,93k USD,374.53,82.25,75.32,South,Acquisition,Soial Media,2022.0
278.33,274k USD,127.86,40.92,93.5,West,Retention,Banner,2025.0
357.0,,169.95,189.41,22.73,East,Awareness,Soial Media,2019.0
295.86,181k USD,442.29,54.55,24.48,East,Seasonal,Soial Media,2022.0
378.5,152k USD,190.87,163.83,77.96,Online,Retention,Video,2023.0
428.58,295k USD,,91.83,126.17,Online,Acquisition,Social Media,2021.0
266.77,78k USD,211.71,68.17,135.08,North,Acquisition,nan,
359.06,149k USD,357.15,113.55,31.27,Online,Retention,Banner,2019.0
527.36,292k USD,377.66,206.32,89.99,nan,Retention,Video,2021.0
431.01,266k USD,305.06,116.26,138.72,East,Retention,nan,
462.73,254k USD,222.12,195.17,70.44,Online,Seasonal,Social Media,2022.0
246.52,114k USD,185.06,57.61,127.84,North,Acquisition,Video,2019.0
354.92,92k USD,113.28,,37.38,West,Acquisition,Social Media,2022.0
389.25,217k USD,221.58,82.13,141.6,nan,Acquisition,Social Media,2023.0
496.45,282k USD,,179.03,117.69,Online,Seasonal,Social Media,2018.0
472.26,189k USD,475.32,154.47,142.37,East,Awareness,Video,2020.0
618.44,192k USD,859.3,234.41,107.96,West,Acquisition,Soial Media,2025.0
356.07,119k USD,406.43,115.21,67.24,East,Acquisition,Social Media,2019.0
406.38,242k USD,415.38,44.56,141.96,West,Awareness,Soial Media,2020.0
233.8,96k USD,365.99,34.21,55.82,nan,Seasonal,nan,2018.0
436.73,130k USD,204.11,211.91,63.18,East,Awareness,nan,2019.0
430.4,156k USD,462.88,145.44,111.11,Online,Awareness,Banner,2020.0
505.55,176k USD,368.29,200.55,119.49,Online,Awareness,Bannr,2020.0
366.04,110k USD,324.18,81.57,140.82,North,Awareness,Soial Media,2019.0
268.3,78k USD,144.4,105.92,46.62,West,Seasonal,nan,2020.0
347.65,202k USD,278.82,36.62,123.74,North,Seasonal,Bannr,2020.0
540.32,122k USD,284.14,241.53,116.01,South,Awareness,Social Media,2019.0
444.86,195k USD,445.83,176.93,28.29,Online,Retention,Bannr,2025.0
471.62,88k USD,318.66,235.31,70.34,West,Retention,Bannr,2020.0
341.31,170k USD,252.16,88.41,56.76,nan,Retention,Social Media,2020.0
457.33,183k USD,490.72,164.52,59.58,North,Retention,Soial Media,2025.0
436.01,62k USD,144.29,179.27,147.78,nan,Acquisition,Social Media,2021.0
379.49,134k USD,269.02,99.86,103.56,nan,Seasonal,Banner,2023.0
430.6,83k USD,116.81,216.58,113.3,nan,Seasonal,Search,2021.0
536.8,65k USD,395.96,238.38,146.96,North,Awareness,Video,
593.07,297k USD,467.23,224.67,69.04,South,Acquisition,Social Media,2018.0
465.65,130k USD,212.01,192.59,124.24,North,Awareness,Social Media,2021.0
410.01,252k USD,443.34,91.04,76.49,East,Awareness,Bannr,2021.0
302.34,,216.89,91.96,133.04,Online,Seasonal,Banner,2018.0
530.46,220k USD,464.31,241.94,43.49,North,Acquisition,nan,2020.0
341.07,240k USD,401.58,,143.2,North,Retention,nan,2020.0
492.35,198k USD,421.96,187.53,48.44,South,Seasonal,Bannr,2021.0
,167k USD,107.2,185.37,62.41,East,Acquisition,Soial Media,2018.0
510.05,152k USD,485.12,166.99,118.3,North,Acquisition,Social Media,2020.0
538.72,137k USD,390.67,247.82,71.19,Online,Seasonal,Social Media,2022.0
408.19,282k USD,221.9,98.61,99.07,Online,Seasonal,Bannr,2019.0
393.25,257k USD,431.76,104.79,77.79,North,Awareness,Social Media,2019.0
337.22,291k USD,212.61,47.37,116.51,nan,Awareness,Soial Media,2023.0
360.94,81k USD,449.1,127.42,49.68,nan,Awareness,Search,2019.0
298.67,232k USD,145.03,87.43,27.6,East,Retention,Video,2021.0
408.09,284k USD,381.47,105.55,58.99,Online,Seasonal,Video,2019.0
451.17,95k USD,316.28,213.61,81.66,nan,Acquisition,Video,2019.0
415.15,66k USD,138.61,235.81,41.84,Online,Seasonal,Search,2022.0
328.84,235k USD,196.76,70.86,66.12,East,Acquisition,Social Media,2020.0
302.65,193k USD,104.96,111.95,72.0,East,Retention,Bannr,2022.0
540.26,260k USD,287.51,234.3,27.46,nan,Seasonal,nan,2021.0
257.53,84k USD,220.51,43.6,95.83,North,Acquisition,Banner,2019.0
739.39,248k USD,339.34,383.6,134.96,West,Acquisition,Social Media,2025.0
244.43,100k USD,218.9,65.81,39.73,South,Awareness,Search,2020.0
400.15,90k USD,219.97,160.95,97.72,West,Retention,Soial Media,2023.0
280.75,91k USD,397.28,63.1,106.42,West,Seasonal,Search,2023.0
512.43,253k USD,119.26,242.98,74.51,Online,Awareness,nan,
447.8,216k USD,461.16,128.28,111.14,East,Retention,Video,
410.01,180k USD,440.91,140.33,,Online,Awareness,Social Media,2019.0
333.63,139k USD,367.12,84.26,85.6,nan,Seasonal,nan,2019.0
386.08,269k USD,337.29,133.61,20.96,South,Acquisition,Video,2023.0
504.81,148k USD,456.92,175.62,109.92,nan,Seasonal,Banner,2023.0
471.85,254k USD,174.13,195.26,105.97,North,Retention,Soial Media,2025.0
406.09,159k USD,131.59,195.85,24.99,South,Seasonal,Video,2021.0
343.03,144k USD,195.8,157.14,67.87,Online,Retention,Banner,2019.0
559.71,165k USD,417.83,228.96,147.27,Online,Awareness,Search,2023.0
419.77,125k USD,113.87,209.83,74.7,nan,Retention,Video,2025.0
494.51,236k USD,333.12,196.55,85.25,Online,Acquisition,Video,2018.0
345.64,175k USD,498.18,42.23,138.29,Online,Acquisition,Bannr,2023.0
274.09,108k USD,442.28,31.51,113.24,West,Acquisition,Soial Media,2020.0
386.25,274k USD,308.58,76.74,95.67,North,Awareness,Soial Media,2020.0
438.87,145k USD,125.46,175.98,123.71,West,Retention,nan,2018.0
433.2,185k USD,432.55,120.46,132.37,Online,Awareness,Search,
396.51,276k USD,339.59,118.53,79.4,East,Seasonal,Bannr,2021.0
516.09,206k USD,145.97,224.61,81.76,West,Seasonal,nan,
406.14,79k USD,137.54,227.02,70.19,Online,Seasonal,Banner,2019.0
590.99,284k USD,463.85,230.02,145.67,Online,Seasonal,nan,
